claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R2-161,run_v35k_opus_min_count,11,Opus min proteins (35K),method-parameter,asserts-own,F2,42,Opus & 0.00001\% & 11
R2-162,kdist_v35k_wave3_k9_count,"10,041,611",Base K=9 frequent itemsets (partial),deterministic,asserts-own,F2,"48, 596, 606, 610","$K{=}9$ reached 10,041,611 frequent itemsets and $K{=}10$ started with 12,491,079 locally frequent candidates before timeout"
R2-163,run_v35k_wave3_k10_candidates,"12,491,079","Base K=10 locally frequent candidates (started, not completed)",deterministic,asserts-own,F2,"49, 597, 607","$K{=}10$ started with 12,491,079 locally frequent candidates before timeout. Run is ongoing."
R2-164,kdist_v35k_peak_k,K=7,peak of the 35K 0.001% K-distribution,deterministic,asserts-own,F2,"61, 79, 362",Peak at $K{=}7$ (10.62\%).
R2-165,kdist_v35k_k7_pct,10.62%,share of itemsets at K=7,deterministic,asserts-own,F2,"61, 79",Peak at $K{=}7$ (10.62\%).
R2-166,run_v35k_replicate_variance_profile,deterministic at K≤3 and K≥11; variance at K=4..10,replicate-variance profile,deterministic,asserts-own,F2,62–64,Values deterministic at $K{\leq}3$ and $K{\geq}11$; minor variance at intermediate levels from GPU floating-point non-determinism
R2-167,kdist_v35k_k1_count,"34,920","K=1 itemsets (35K, 0.001%)",deterministic,asserts-own,F2,"73, 400, 448","1 & 34,920 & 5.76 & 10 & 43,869 & 7.24"
R2-168,kdist_v35k_k1_pct,5.76%,K=1 share,deterministic,asserts-own,F2,73,"1 & 34,920 & 5.76"
R2-169,kdist_v35k_k10_count,"43,869",K=10 itemsets,deterministic,asserts-own,F2,73,"10 & 43,869 & 7.24"
R2-170,kdist_v35k_k10_pct,7.24%,K=10 share,deterministic,asserts-own,F2,73,"10 & 43,869 & 7.24"
R2-171,kdist_v35k_k2_count,"46,853",K=2 itemsets (kdist table),deterministic,asserts-own,F2,74,"2 & 46,853 & 7.73 & 11 & 30,116 & 4.97"
R2-172,kdist_v35k_k2_pct,7.73%,K=2 share,deterministic,asserts-own,F2,74,"2 & 46,853 & 7.73"
R2-173,kdist_v35k_k11_count,"30,116",K=11 itemsets,deterministic,asserts-own,F2,74,"11 & 30,116 & 4.97"
R2-174,kdist_v35k_k11_pct,4.97%,K=11 share,deterministic,asserts-own,F2,74,"11 & 30,116 & 4.97"
R2-175,kdist_v35k_k3_count,"53,238",K=3 itemsets (kdist table),deterministic,asserts-own,F2,75,"3 & 53,238 & 8.78 & 12 & 17,355 & 2.86"
R2-176,kdist_v35k_k3_pct,8.78%,K=3 share,deterministic,asserts-own,F2,75,"3 & 53,238 & 8.78"
R2-177,kdist_v35k_k12_count,"17,355",K=12 itemsets,deterministic,asserts-own,F2,75,"12 & 17,355 & 2.86"
R2-178,kdist_v35k_k12_pct,2.86%,K=12 share,deterministic,asserts-own,F2,75,"12 & 17,355 & 2.86"
R2-179,kdist_v35k_k4_count,"59,086",K=4 itemsets (kdist table),deterministic,asserts-own,F2,76,"4 & 59,086 & 9.75 & 13 & 8,096 & 1.34"
R2-180,kdist_v35k_k4_pct,9.75%,K=4 share,deterministic,asserts-own,F2,76,"4 & 59,086 & 9.75"
R2-181,kdist_v35k_k13_count,"8,096",K=13 itemsets,deterministic,asserts-own,F2,76,"13 & 8,096 & 1.34"
R2-182,kdist_v35k_k13_pct,1.34%,K=13 share,deterministic,asserts-own,F2,76,"13 & 8,096 & 1.34"
R2-183,kdist_v35k_k5_count,"62,226",K=5 itemsets (kdist table),deterministic,asserts-own,F2,77,"5 & 62,226 & 10.26 & 14 & 2,946 & 0.49"
R2-184,kdist_v35k_k5_pct,10.26%,K=5 share,deterministic,asserts-own,F2,77,"5 & 62,226 & 10.26"
R2-185,kdist_v35k_k14_count,"2,946",K=14 itemsets,deterministic,asserts-own,F2,77,"14 & 2,946 & 0.49"
R2-186,kdist_v35k_k14_pct,0.49%,K=14 share,deterministic,asserts-own,F2,77,"14 & 2,946 & 0.49"
R2-187,kdist_v35k_k6_count,"63,708",K=6 itemsets,deterministic,asserts-own,F2,78,"6 & 63,708 & 10.51 & 15 & 800 & 0.13"
R2-188,kdist_v35k_k6_pct,10.51%,K=6 share,deterministic,asserts-own,F2,78,"6 & 63,708 & 10.51"
R2-189,kdist_v35k_k15_count,800,K=15 itemsets,deterministic,asserts-own,F2,78,15 & 800 & 0.13
R2-190,kdist_v35k_k15_pct,0.13%,K=15 share,deterministic,asserts-own,F2,78,15 & 800 & 0.13
R2-191,kdist_v35k_k7_count,"64,396",K=7 itemsets (peak),deterministic,asserts-own,F2,79,"\textbf{7} & \textbf{64,396} & \textbf{10.62} & 16 & 152 & 0.03"
R2-192,kdist_v35k_k16_count,152,K=16 itemsets,deterministic,asserts-own,F2,79,16 & 152 & 0.03
R2-193,kdist_v35k_k16_pct,0.03%,K=16 share,deterministic,asserts-own,F2,79,16 & 152 & 0.03
R2-194,kdist_v35k_k8_count,"62,948",K=8 itemsets,deterministic,asserts-own,F2,80,"8 & 62,948 & 10.38 & 17 & 1 & $<\!$0.01"
R2-195,kdist_v35k_k8_pct,10.38%,K=8 share,deterministic,asserts-own,F2,80,"8 & 62,948 & 10.38"
R2-196,kdist_v35k_k17_count,1,K=17 itemsets,deterministic,asserts-own,F2,80,17 & 1 & $<\!$0.01
R2-197,kdist_v35k_k17_pct,<0.01%,K=17 share,deterministic,asserts-own,F2,80,17 & 1 & $<\!$0.01
R2-198,kdist_v35k_k9_count,"55,582",K=9 itemsets,deterministic,asserts-own,F2,81,"9 & 55,582 & 9.17"
R2-199,kdist_v35k_k9_pct,9.17%,K=9 share,deterministic,asserts-own,F2,81,"9 & 55,582 & 9.17"
R2-200,vocab_v35k_sources,7,annotation sources in expanded vocabulary,method-parameter,asserts-own,F2,"99, 129, 355","The expanded vocabulary comprises 35,012 features across seven annotation sources"
R2-201,vocab_v35k_vs_1k_ratio,35×,"vocabulary size increase (35,012 / 1,002)",deterministic,asserts-own,F2,100,"a $35\times$ increase over the initial 1,002-feature set"
R2-202,vocab_v35k_min_count,"3,423",min feature count for vocabulary retention,method-parameter,asserts-own,F2,"101, 185","Features retained at min\_count${\geq}$3,423."
R2-203,vocab_v35k_interpro,"12,773",InterPro domain/family features,deterministic,asserts-own,F2,"109, 131, 135, 329","Protein domains \& families & InterPro & 12,773 & (247)"
R2-204,vocab_pfam_frequent,247,"Pfam domains in the 1,002 set",deterministic,quotes-paper,F2,"109, 134, 326, 329","Protein domains \& families & InterPro & 12,773 & (247)"
R2-205,vocab_v35k_go,"5,763",GO terms (expanded),deterministic,asserts-own,F2,"110, 137, 140","GO terms (all three ontologies) & Gene Ontology & 5,763 & (752)"
R2-206,vocab_go_frequent,752,"GO terms in the 1,002 set",deterministic,quotes-paper,F2,"110, 139, 326","GO terms (all three ontologies) & Gene Ontology & 5,763 & (752)"
R2-207,vocab_v35k_ec,"1,107",EC number features (leaf-only),deterministic,asserts-own,F2,"111, 144, 330","Enzyme Commission numbers & IUBMB (leaf-only) & 1,107 & ---"
R2-208,vocab_v35k_keywords,"15,162",UniProt Keyword features,deterministic,asserts-own,F2,"112, 151, 330","UniProt Keywords & UniProtKB & 15,162 & ---"
R2-209,vocab_v35k_taxa,175,taxonomic-class features (leaf-only),deterministic,asserts-own,F2,"113, 158","Taxonomic lineage & UniProt (class-level, leaf-only) & 175 & ---"
R2-210,vocab_v35k_length_bins,26,sequence-length bins (log-scale),method-parameter,asserts-own,F2,"114, 166, 168",Sequence length bins & Derived (log-scale) & 26 & ---
R2-211,vocab_v35k_plddt_bins,6,pLDDT confidence bins (expanded),method-parameter,asserts-own,F2,"115, 172, 173",pLDDT confidence bins & AlphaFold & 6 & (3)
R2-212,vocab_plddt_frequent,3,"pLDDT bins in the 1,002 set",method-parameter,quotes-paper,F2,"115, 175",pLDDT confidence bins & AlphaFold & 6 & (3) … expanded from the 3-bin encoding in the initial vocabulary
R2-213,vocab_v35k_items,"1,002 → 35,012",vocabulary expansion (old → new),deterministic,asserts-own,F2,"127, 264, 470","We expanded the feature vocabulary from 1,002 to 35,012 features"
R2-214,vocab_v35k_interpro,"247 → 12,773","domain coverage, Pfam → InterPro (old → new)",deterministic,asserts-own,F2,134–135,"increasing domain coverage from 247 to 12,773 entries while eliminating deduplication concerns"
R2-215,vocab_v35k_go,"752 → 5,763",GO coverage (old → new),deterministic,asserts-own,F2,139–140,"expand coverage from 752 to 5,763 terms by lowering the frequency threshold"
R2-216,ext_ec_hierarchy_levels,4,levels in the EC hierarchy,external-fact,asserts-own,F2,145,EC numbers classify enzyme-catalyzed reactions in a four-level hierarchy (class.subclass.sub-subclass.serial)
R2-217,vocab_v35k_length_bin_edges,"100–150, 150–200, …, >5,000 aa","length-bin edges (log-scale, 26 bins)",method-parameter,asserts-own,F2,167–168,"log-scale bins (e.g., 100--150~aa, 150--200~aa, $\ldots$, $>$5{,}000~aa), providing 26 discrete size categories"
R2-218,vocab_v35k_plddt_bin_scheme,"3 mean-pLDDT bins (<70, 70–90, >90) + 3 fraction bins",pLDDT binning scheme (6 bins),method-parameter,asserts-own,F2,173–174,"three for mean pLDDT ($<$70, 70--90, $>$90) and three for the fraction of high-confidence residues"
R2-219,vocab_v35k_plddt_bins,3 → 6,pLDDT bins (old → new),method-parameter,asserts-own,F2,175,expanded from the 3-bin encoding in the initial vocabulary
R2-220,run_v35k_n_transactions,76.9M → 109.2M,proteins with ≥1 feature (old → new),deterministic,asserts-own,F2,177–178,"109.2~million proteins with at least one annotation feature (up from 76.9~million in the 1,002-feature set)"
R2-221,dataset_multi_feature,76.9 million (77M at l.337),"proteins in the 1,002-feature set",deterministic,quotes-paper,F2,"178, 337","up from 76.9~million in the 1,002-feature set … (0.00001\% of 77M)"
R2-222,dataset_annotation_gb,150 GB,UniProt .dat.gz input processed,external-fact,asserts-own,F2,180,"Feature extraction processed 150\,GB of UniProt \texttt{.dat.gz} files using a custom Rust parser"
R2-223,extract_v35k_parser_records_per_s,95.6K records/s,dat_to_tsv.rs parser throughput,hardware-dependent,asserts-own,F2,182,"(\texttt{dat\_to\_tsv.rs}, 95.6K records/s)"
R2-224,extract_v35k_build_tx_lines_per_s,495K lines/s,build_tx.rs throughput,hardware-dependent,asserts-own,F2,183,"two-pass Rust transaction builder (\texttt{build\_tx.rs}, 495K lines/s)"
R2-225,extract_v35k_build_tx_time_s,858 s,transaction build time (frequency counting + remapping),hardware-dependent,asserts-own,F2,184,"performed frequency counting and feature remapping in 858\,s"
R2-226,vocab_v35k_min_count_pct,~0.003%,"3,423 as fraction of 109.2M",method-parameter,asserts-own,F2,185,"3,423 (corresponding to ${\sim}0.003\%$ of 109.2M proteins)"
R2-227,mem_v35k_bitvec_gb,477 GB,total bitvector matrix (35K × 109.2M),deterministic,asserts-own,F2,"186, 629","constrain the bitvector matrix to 477\,GB total across four NVIDIA H200 143\,GB GPUs"
R2-228,mem_v35k_bitvec_per_device_gb,~119 GB,bitvector shard per device,deterministic,asserts-own,F2,"187, 241, 628","(${\sim}119$\,GB per device with 12\,GB headroom for workspace allocations)"
R2-229,mem_v35k_headroom_gb,12 GB,per-device headroom for workspace,hardware-dependent,asserts-own,F2,187,"${\sim}119$\,GB per device with 12\,GB headroom for workspace allocations"
R2-230,mem_bitvec_cost_model,|F| × ⌈N/64⌉ × 8 B ; T_bitvec = |C_K|·K·⌈N/64⌉,bitvector memory / cost model,deterministic,asserts-own,F2,"207, 215–216, 271, 642",the bitvector matrix for each chunk has dimensions $|F| \times \lceil N_{\text{chunk}} / 64 \rceil$
R2-231,run_v35k_son_chunk_size,40M,SON chunk size (example),method-parameter,asserts-own,F2,"212, 215",A single chunk of $N_{\text{chunk}} = 40$M transactions requires:
R2-232,mem_v35k_son_chunk_bitvec_gb,175 GB,"chunk bitvector at 40M transactions, 35,012 features",deterministic,asserts-own,F2,"216, 641","35{,}012 \times \left\lceil \frac{40 \times 10^6}{64} \right\rceil \times 8 \;\text{bytes} = 175\;\text{GB}"
R2-233,ext_h200_highest_capacity_gpu,H200 = highest-capacity datacenter GPU currently available,hardware ranking claim,external-fact,asserts-own,F2,220–221,"the 143\,GB VRAM of the NVIDIA H200---the highest-capacity datacenter GPU currently available"
R2-234,run_v35k_son_chunk_size_reduced,30M,reduced SON chunk size,method-parameter,asserts-own,F2,222,"(e.g., $N_{\text{chunk}} = 30$M $\rightarrow$ 131\,GB)"
R2-235,mem_v35k_son_chunk_bitvec_reduced_gb,131 GB,chunk bitvector at 30M,deterministic,asserts-own,F2,222,"(e.g., $N_{\text{chunk}} = 30$M $\rightarrow$ 131\,GB)"
R2-236,run_v35k_son_passes,4,sequential SON passes ⌈109M/30M⌉,deterministic,asserts-own,F2,223,would require at least $\lceil 109\text{M} / 30\text{M} \rceil = 4$ sequential passes
R2-237,run_v35k_n_transactions,109M / 109 million,proteins (rounded),deterministic,asserts-own,F2,"223, 292, 295, 336","Across 109~million transactions, this produces $8.6 \times 10^{10}$ subset enumerations"
R2-238,run_v35k_son_hang_hours,> 22 hours,SON streaming run hung at Pass 1 (4×H200) before termination,hardware-dependent,asserts-own,F2,231,a SON streaming run on 4$\times$H200 GPUs hung at Pass~1 for over 22 hours before being terminated
R2-239,run_v35k_transactions_per_gpu,~27M,proteins per GPU (4 GPUs),deterministic,asserts-own,F2,239,Each GPU holds a fraction of the proteins (${\sim}27$M each on 4 GPUs)
R2-240,misc_rowsplit_allreduce_per_level,1,allreduce per K-level,method-parameter,asserts-own,F2,"242, 630",Local support counts are reduced across GPUs with a single \texttt{allreduce} operation per $K$-level
R2-241,son_speedup,21.4×,"SON slowdown / Direct GPU speedup (1K features, 0.001%)",hardware-dependent,asserts-own,F2,"250, 542, 553, 567, 575, 649","``SON is $21.4\times$ slower'' (Section~\ref{sec:results}, 1K features)"
R2-242,misc_hashtree_cost_model,"T_sparse = N · C(|t|, K)",hash-tree Apriori cost model,deterministic,asserts-own,F2,286,T_{\text{sparse}} = N \cdot \binom{\bar{|t|}}{K}
R2-243,run_v35k_items_per_transaction,~12,average annotated features per protein (35K),deterministic,asserts-own,F2,"291, 355",With the 35K-feature dataset ($\bar{|t|} \approx 12$) at $K{=}5$
R2-244,misc_hashtree_subsets_per_txn_k5,792,"C(12,5) subsets per transaction at K=5",deterministic,asserts-own,F2,292,each transaction generates $\binom{12}{5} = 792$ subsets
R2-245,misc_hashtree_subset_enumerations_k5,8.6 × 10^10,subset enumerations at K=5 across 109M transactions,deterministic,asserts-own,F2,293,"Across 109~million transactions, this produces $8.6 \times 10^{10}$ subset enumerations at $K{=}5$ alone"
R2-246,misc_bitvec_words_per_candidate,~1.7 × 10^6,"64-bit ops per candidate, ⌈109×10^6/64⌉",deterministic,asserts-own,F2,"295–296, 300",$\lceil 109{\times}10^6 / 64 \rceil \approx 1.7 \times 10^6$ 64-bit operations per candidate at \emph{any} $K$
R2-247,misc_hypothetical_txn_length,100,hypothetical average transaction length,method-parameter,asserts-own,F2,297,At $\bar{|t|}{=}100$ and $K{=}5$:
R2-248,misc_hashtree_subsets_per_txn_len100_k5,"75,287,520","C(100,5) subsets per transaction",deterministic,asserts-own,F2,298,"sparse traversal generates $\binom{100}{5} = 75{,}287{,}520$ subsets per transaction"
R2-249,run_opus_kmax,K=22,1K max depth (min_count=8),deterministic,quotes-paper,F2,"319, 323, 339, 353, 358, 643","maximum itemset depth from $K{=}22$ (1,002 features, min\_count$=$8) to $K{=}17$"
R2-250,run_opus_min_count,8,1K Opus min_count,method-parameter,quotes-paper,F2,"319, 337, 338","$K{=}22$ (1,002 features, min\_count$=$8) … min\_count$=$8 (0.00001\% of 77M) for the 1K Opus run"
R2-251,run_v35k_kmax,K=22 → K=17,"max itemset depth, 1K → 35K (old → new)",deterministic,asserts-own,F2,"319–320, 643","the \emph{decrease} in maximum itemset depth from $K{=}22$ … to $K{=}17$ (35,012 features, min\_count$=$1,093)"
R2-252,run_v35k_vs_opus_min_count_ratio,137×,"absolute threshold ratio 1,093 / 8",deterministic,asserts-own,F2,337,a $137\times$ higher absolute threshold
R2-253,k22_support,8,proteins sharing the K=22 itemset,deterministic,quotes-paper,F2,"339, 353",(the $K{=}22$ itemset was shared by exactly 8 proteins)
R2-254,run_v35k_min_count,"> 1,000","proteins a pattern must reach at min_count=1,093",method-parameter,asserts-own,F2,340,"At min\_count$=$1,093, only patterns present in $>$1,000 proteins qualify."
R2-255,vocab_v35k_ec_features_per_annotation,1 (not 4),features per EC annotation under leaf-only encoding,method-parameter,asserts-own,F2,346,"EC~3.4.21.4 contributes one feature, not four (the leaf plus three ancestors)"
R2-256,misc_go_truepath_free_cooccurrences,7–8,"""free"" GO co-occurrences per protein from true-path rule (1K vocabulary)",deterministic,asserts-own,F2,347,GO's true-path rule contributed up to 7--8 ``free'' co-occurrences per protein from hierarchical nesting alone
R2-257,k22_proteins_features_each,8 proteins with exactly 22 features each,K=22 ceiling determined by annotation depth,deterministic,asserts-own,F2,353–354,The $K{=}22$ ceiling in the 1K dataset was determined by 8 proteins with exactly 22 features each
R2-258,k22_n_plddt,1,pLDDT bin in the 1K K=22 pattern,deterministic,asserts-own,F2,359,"combined only Pfam and GO terms with one pLDDT bin, all from two closely related annotation sources"
R2-259,kdist_opus_peak_k,K=9,1K K-distribution peak,deterministic,quotes-paper,F2,362,The $K$-distribution peak also shifted: from $K{=}9$ (1K features) to $K{=}7$ (35K features)
R2-260,kdist_v35k_peak_k,K=9 → K=7,"K-distribution peak, 1K → 35K (old → new)",deterministic,asserts-own,F2,362,from $K{=}9$ (1K features) to $K{=}7$ (35K features)
R2-261,run_v35k_null_permutations,2,permutations completed (35K null model),method-parameter,asserts-own,F2,"370, 373, 382, 388, 644",Two permutations were completed on 4$\times$H200 GPUs
R2-262,null_permutations,5,permutations in the existing (1K) null model,method-parameter,quotes-paper,F2,373,Replace existing 5-permutation null model with 35K 2-perm data.
R2-263,run_v35k_null_permutations_planned,100,permutations planned (TBD),method-parameter,requests,F2,"374, 434, 437, 647, 656",Prepare for 100-permutation update. … 35K null model: 100-permutation results (\textbf{TBD})
R2-264,run_v35k_null_gpu_time_s,"1,310 s","total GPU time, 2 permutations",hardware-dependent,asserts-own,F2,383,"(total GPU time: 1,310\,s, wall-clock: 1,456\,s)"
R2-265,run_v35k_null_time_s,"1,456 s","wall-clock, 2 permutations",hardware-dependent,asserts-own,F2,383,"(total GPU time: 1,310\,s, wall-clock: 1,456\,s)"
R2-266,run_v35k_null_kmax,K=5,null model max K (35K),deterministic,asserts-own,F2,"388–389, 415, 646",The null model collapses at $K{=}5$ (1 itemset per permutation)
R2-267,null_v35k2perm_k5_mean,1,"null itemsets at K=5, per permutation",deterministic,asserts-own,F2,"389, 404, 415",it barely reaches $K{=}5$ (exactly 1 itemset per permutation)
R2-268,null_v35k2perm_k3_z,+722.9 (≈723),K=3 Z (35K),deterministic,asserts-own,F2,"390, 402, 423, 645","($Z{=}723$ at $K{=}3$, $Z{>}20{,}000$ at $K{=}4$, $Z{=}\infty$ for $K{\geq}5$)"
R2-269,null_v35k2perm_k4_z,"+20,585 (>20,000)",K=4 Z (35K),deterministic,asserts-own,F2,"390, 403, 645","4 & 59,095 & 872 & 2.8 & $+20{,}585$ & ${\approx}\,0$ & enriched"
R2-270,null_v35k2perm_kge5_z,+∞,Z for K≥5 (35K),deterministic,asserts-own,F2,"390–391, 404, 405",$Z{=}\infty$ for $K{\geq}5$
R2-271,null_v35k2perm_k1_mean,"34,920",K=1 null μ (marginals preserved),deterministic,asserts-own,F2,400,"1 & 34,920 & 34,920 & 0.0 & 0.0 & 1.0 & preserved"
R2-272,null_v35k2perm_k1_std,0.0,K=1 null σ,deterministic,asserts-own,F2,400,"1 & 34,920 & 34,920 & 0.0 & 0.0 & 1.0 & preserved"
R2-273,null_v35k2perm_k1_z,0.0,K=1 Z,deterministic,asserts-own,F2,400,"1 & 34,920 & 34,920 & 0.0 & 0.0 & 1.0 & preserved"
R2-274,null_v35k2perm_k1_p,1.0,K=1 p,deterministic,asserts-own,F2,400,"1 & 34,920 & 34,920 & 0.0 & 0.0 & 1.0 & preserved"
R2-275,null_v35k2perm_k2_bio,"46,847",K=2 bio (null-model table),deterministic,asserts-own,F2,"401, 449","2 & 46,847 & 59,415 & 123.7 & $-101.6$ & 1.0 & depleted"
R2-276,null_v35k2perm_k2_mean,"59,415",K=2 null μ,deterministic,asserts-own,F2,401,"2 & 46,847 & 59,415 & 123.7 & $-101.6$ & 1.0 & depleted"
R2-277,null_v35k2perm_k2_std,123.7,K=2 null σ,deterministic,asserts-own,F2,401,"2 & 46,847 & 59,415 & 123.7 & $-101.6$ & 1.0 & depleted"
R2-278,null_v35k2perm_k2_z,−101.6,K=2 Z,deterministic,asserts-own,F2,401,"2 & 46,847 & 59,415 & 123.7 & $-101.6$ & 1.0 & depleted"
R2-279,null_v35k2perm_k2_p,1.0,K=2 p,deterministic,asserts-own,F2,401,"2 & 46,847 & 59,415 & 123.7 & $-101.6$ & 1.0 & depleted"
R2-280,null_v35k2perm_k3_bio,"53,235",K=3 bio (null-model table),deterministic,asserts-own,F2,"402, 450","3 & 53,235 & 15,920 & 51.6 & $+722.9$ & ${\approx}\,0$ & enriched"
R2-281,null_v35k2perm_k3_mean,"15,920",K=3 null μ,deterministic,asserts-own,F2,402,"3 & 53,235 & 15,920 & 51.6 & $+722.9$"
R2-282,null_v35k2perm_k3_std,51.6,K=3 null σ,deterministic,asserts-own,F2,402,"3 & 53,235 & 15,920 & 51.6 & $+722.9$"
R2-283,null_v35k2perm_k3_p,≈0,K=3 p,deterministic,asserts-own,F2,402,"3 & 53,235 & 15,920 & 51.6 & $+722.9$ & ${\approx}\,0$ & enriched"
R2-284,null_v35k2perm_k4_bio,"59,095",K=4 bio (null-model table),deterministic,asserts-own,F2,"403, 451","4 & 59,095 & 872 & 2.8 & $+20{,}585$ & ${\approx}\,0$ & enriched"
R2-285,null_v35k2perm_k4_mean,872,K=4 null μ,deterministic,asserts-own,F2,403,"4 & 59,095 & 872 & 2.8 & $+20{,}585$"
R2-286,null_v35k2perm_k4_std,2.8,K=4 null σ,deterministic,asserts-own,F2,403,"4 & 59,095 & 872 & 2.8 & $+20{,}585$"
R2-287,null_v35k2perm_k4_p,≈0,K=4 p,deterministic,asserts-own,F2,403,"4 & 59,095 & 872 & 2.8 & $+20{,}585$ & ${\approx}\,0$ & enriched"
R2-288,null_v35k2perm_k5_bio,"62,241",K=5 bio (null-model table),deterministic,asserts-own,F2,"404, 452","5 & 62,241 & 1.0 & 0.0 & $+\infty$ & ${\approx}\,0$ & enriched"
R2-289,null_v35k2perm_k5_mean,1.0,K=5 null μ,deterministic,asserts-own,F2,404,"5 & 62,241 & 1.0 & 0.0 & $+\infty$"
R2-290,null_v35k2perm_k5_std,0.0,K=5 null σ,deterministic,asserts-own,F2,404,"5 & 62,241 & 1.0 & 0.0 & $+\infty$"
R2-291,null_v35k2perm_k5_p,≈0,K=5 p,deterministic,asserts-own,F2,404,"5 & 62,241 & 1.0 & 0.0 & $+\infty$ & ${\approx}\,0$ & enriched"
R2-292,null_v35k2perm_kge6_bio,"348,853",K=6–17 bio itemsets,deterministic,asserts-own,F2,"405, 432, 453","6--17 & 348,853 & 0 & 0.0 & $+\infty$ & ${\approx}\,0$ & enriched"
R2-293,null_v35k2perm_kge6_mean,0,K=6–17 null μ (zero itemsets at K≥6),deterministic,asserts-own,F2,"405, 416","6--17 & 348,853 & 0 & 0.0 … produces zero itemsets at $K{\geq}6$"
R2-294,null_v35k2perm_kge6_std,0.0,K=6–17 null σ,deterministic,asserts-own,F2,405,"6--17 & 348,853 & 0 & 0.0 & $+\infty$"
R2-295,null_v35k2perm_kge6_p,≈0,K=6–17 p,deterministic,asserts-own,F2,405,"6--17 & 348,853 & 0 & 0.0 & $+\infty$ & ${\approx}\,0$ & enriched"
R2-296,null_kmax,K=6,1K null-model max K,deterministic,quotes-paper,F2,"414, 646","With 1K features, the null model reached $K{=}6$ (22 itemsets mean)"
R2-297,null_k6_mean,22,1K null K=6 mean itemsets,deterministic,quotes-paper,F2,414,"With 1K features, the null model reached $K{=}6$ (22 itemsets mean)"
R2-298,null_k3_z,Z=−143,1K K=3 Z (depleted),deterministic,quotes-paper,F2,421,"With 1K features, $K{=}3$ was depleted ($Z{=}{-}143$)"
R2-299,null_v35k2perm_k3_enrichment_ratio,3.3×,bio/null triples ratio at K=3 (35K),deterministic,asserts-own,F2,423,biology produces $3.3\times$ more triples than chance
R2-300,null_v35k2perm_total_enrichment_ratio,5.5×,total bio/null itemset ratio (35K),deterministic,asserts-own,F2,429,The 35K dataset produces $5.5\times$ more total itemsets than the null (606K vs.\ 111K)
R2-301,run_v35k_itemsets,606K,bio total itemsets (rounded),deterministic,asserts-own,F2,"430, 645",(606K vs.\ 111K)
R2-302,run_v35k_null_itemsets,111K,"null total itemsets (35K, 2 permutations)",deterministic,asserts-own,F2,"430, 645",(606K vs.\ 111K)
R2-303,null_v35k2perm_k_levels_beyond,12,K-levels beyond null reach (K=6..17),deterministic,asserts-own,F2,431,"With 12 levels beyond the null's reach ($K{=}6$ through $K{=}17$) containing 348,853 itemsets"
R2-304,run_v35k_null_per_perm_time_s,~655 s,"time per permutation (GPU Fisher–Yates, 4×H200)",hardware-dependent,asserts-own,F2,438,"GPU-accelerated Fisher--Yates shuffle on 4$\times$H200, ${\sim}655$\,s per permutation."
R2-305,vocab_v35k_added_sources,4,additional annotation sources vs 1K vocabulary,method-parameter,asserts-own,F2,474–476,"The 35K vocabulary introduces four additional annotation sources (EC numbers, UniProt Keywords, taxonomic lineage, and sequence length)"
R2-306,misc_cross_source_pattern_categories,6,categories of cross-source patterns,deterministic,asserts-own,F2,476,creating six categories of cross-source patterns that could not be discovered with any single-source analysis
R2-307,run_power_direct_itemsets,"475,865","Direct GPU itemsets (1K, 0.001%) — retained in replacement text",deterministic,quotes-paper,F2,"548, 552, 558, 576","Direct GPU discovers 475,865 itemsets in 50.7\,s versus SON's 22,846 in 1,085.6\,s"
R2-308,run_power_direct_time_s,50.7 s,Direct GPU time (1K),hardware-dependent,quotes-paper,F2,"548, 552, 571, 575","Direct GPU discovers 475,865 itemsets in 50.7\,s"
R2-309,run_power_son_itemsets,"22,846",SON itemsets (1K),deterministic,quotes-paper,F2,"549, 552, 558, 576","versus SON's 22,846 in 1,085.6\,s"
R2-310,run_power_son_time_s,"1,085.6 s",SON time (1K),hardware-dependent,quotes-paper,F2,"549, 553, 571, 575","versus SON's 22,846 in 1,085.6\,s"
R2-311,son_speedup,21×,speedup as currently written in paper (three places),hardware-dependent,quotes-paper,F2,"549, 562, 571","REPLACE: ""… 1,085.6\,s---a $21\times$ speedup."""
R2-312,son_speedup,21× → 21.4×,Section 3.1 speedup wording (old → new),hardware-dependent,requests,F2,548–553,"REPLACE: ""…a $21\times$ speedup."" WITH: … a $\mathbf{21.4\times}$ speedup (Table~\ref{tab:campaign}, footnote)"
R2-313,run_power_min_count,769,min_count of the controlled comparison (0.001%),method-parameter,asserts-own,F2,555,"isolates the method effect at identical support (0.001\%, $\text{min\_count}{=}769$)"
R2-314,son_miss_rate_pct,95.2%,"SON miss rate (22,846 of 475,865)",deterministic,asserts-own,F2,"558, 567, 576","SON misses 95.2\% of patterns (22,846 of 475,865) through two compounding mechanisms."
R2-315,son_speedup,21× → 21.4× (+ 95.2% miss rate added),Table 2 footnote (old → new),hardware-dependent,requests,F2,561–568,"Replace: ""Controlled same-support comparison: $21\times$"" With: … $21.4\times$ speedup, 95.2\% SON miss rate"
R2-316,run_blitz_vs_power_speedup,Power (0.001%) vs Blitz (0.0001%),what the Table 2 † footnote compares (method and threshold both vary),method-parameter,asserts-own,F2,565–566,"Compares Power (0.001\%) to Blitz (0.0001\%), varying both method and threshold."
