qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
kdist_v35k_k9_pct,deterministic,%,100 x kdist_v35k_k9_count / run_v35k_itemsets.,review:9.17%,revision_notes_b3.tex:81,derived
kdist_v35k_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the 35K 0.001% run (tab:kdist-35k).,"review:43,869",revision_notes_b3.tex:73,rerun
kdist_v35k_k10_pct,deterministic,%,100 x kdist_v35k_k10_count / run_v35k_itemsets.,review:7.24%,revision_notes_b3.tex:73,derived
kdist_v35k_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the 35K 0.001% run (tab:kdist-35k).,"review:30,116",revision_notes_b3.tex:74,rerun
kdist_v35k_k11_pct,deterministic,%,100 x kdist_v35k_k11_count / run_v35k_itemsets.,review:4.97%,revision_notes_b3.tex:74,derived
kdist_v35k_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the 35K 0.001% run (tab:kdist-35k).,"review:17,355",revision_notes_b3.tex:75,rerun
kdist_v35k_k12_pct,deterministic,%,100 x kdist_v35k_k12_count / run_v35k_itemsets.,review:2.86%,revision_notes_b3.tex:75,derived
kdist_v35k_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the 35K 0.001% run (tab:kdist-35k).,"review:8,096",revision_notes_b3.tex:76,rerun
kdist_v35k_k13_pct,deterministic,%,100 x kdist_v35k_k13_count / run_v35k_itemsets.,review:1.34%,revision_notes_b3.tex:76,derived
kdist_v35k_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the 35K 0.001% run (tab:kdist-35k).,"review:2,946",revision_notes_b3.tex:77,rerun
kdist_v35k_k14_pct,deterministic,%,100 x kdist_v35k_k14_count / run_v35k_itemsets.,review:0.49%,revision_notes_b3.tex:77,derived
kdist_v35k_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the 35K 0.001% run (tab:kdist-35k).,review:800,revision_notes_b3.tex:78,rerun
kdist_v35k_k15_pct,deterministic,%,100 x kdist_v35k_k15_count / run_v35k_itemsets.,review:0.13%,revision_notes_b3.tex:78,derived
kdist_v35k_k16_count,deterministic,itemsets,Frequent itemsets of length K=16 in the 35K 0.001% run (tab:kdist-35k).,review:152,revision_notes_b3.tex:79,rerun
kdist_v35k_k16_pct,deterministic,%,100 x kdist_v35k_k16_count / run_v35k_itemsets.,review:0.03%,revision_notes_b3.tex:79,derived
kdist_v35k_k17_count,deterministic,itemsets,Frequent itemsets of length K=17 in the 35K 0.001% run (tab:kdist-35k).,review:1,revision_notes_b3.tex:80,rerun
kdist_v35k_k17_pct,deterministic,%,100 x kdist_v35k_k17_count / run_v35k_itemsets.,review:<0.01%,revision_notes_b3.tex:80,derived
kdist_v35k_peak_k,deterministic,K,argmax over K of the 35K 0.001% K-distribution (7). The 'K=9 -> K=7' row is keyed here; its old value is kdist_opus_peak_k.,review:K=7 / K=9 → K=7,revision_notes_b3.tex:61;revision_notes_b3.tex:79;revision_notes_b3.tex:362,derived
run_v35k_null_permutations,method-parameter,permutations,Permutations completed for the 35K null model (2).,review:2,revision_notes_b3.tex:370;revision_notes_b3.tex:373;revision_notes_b3.tex:382;revision_notes_b3.tex:388;revision_notes_b3.tex:644,setup
run_v35k_null_permutations_planned,method-parameter,permutations,Permutations planned for the 35K null-model update (100; TBD in revision_notes_b3).,review:100,revision_notes_b3.tex:374;revision_notes_b3.tex:434;revision_notes_b3.tex:437;revision_notes_b3.tex:647;revision_notes_b3.tex:656,setup
run_v35k_null_gpu_time_s,hardware-dependent,s,"Total GPU time of the 2 completed 35K permutations (1,310 s).","review:1,310 s",revision_notes_b3.tex:383,hardware
run_v35k_null_time_s,hardware-dependent,s,"Wall-clock of the 2 completed 35K permutations (1,456 s).","review:1,456 s",revision_notes_b3.tex:383,hardware
run_v35k_null_kmax,deterministic,K,Deepest K produced by any 35K null permutation (5: exactly 1 itemset per permutation; zero itemsets at K>=6).,review:K=5,revision_notes_b3.tex:388-389;revision_notes_b3.tex:415;revision_notes_b3.tex:646,rerun
run_v35k_null_itemsets,deterministic,itemsets,Total null itemsets of the 35K 2-permutation null model as quoted in the 5.5x comparison (~111K).,review:111K,revision_notes_b3.tex:430;revision_notes_b3.tex:645,rerun
run_v35k_null_per_perm_time_s,hardware-dependent,s,"Time per 35K permutation (GPU-accelerated Fisher-Yates shuffle on 4xH200, ~655 s).",review:~655 s,revision_notes_b3.tex:438,hardware
null_v35k2perm_k1_mean,deterministic,itemsets,Mean null-model itemsets at K=1 over the 2 35K permutations.,"review:34,920",revision_notes_b3.tex:400,rerun
null_v35k2perm_k1_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=1 over the 2 35K permutations.,review:0.0,revision_notes_b3.tex:400,rerun
null_v35k2perm_k1_z,deterministic,Z,Z (bio - mean) / std at K=1 of the 35K null table.,review:0.0,revision_notes_b3.tex:400,derived
null_v35k2perm_k1_p,deterministic,p,p-value reported at K=1 of the 35K null table.,review:1.0,revision_notes_b3.tex:400,derived
null_v35k2perm_k2_bio,deterministic,itemsets,Biological itemsets at K=2 of the 35K 0.001% run as printed in the 2-permutation null table (tab:null-model-35k; BX-06: differs slightly from tab:kdist-35k).,"review:46,847",revision_notes_b3.tex:401;revision_notes_b3.tex:449,rerun
null_v35k2perm_k2_mean,deterministic,itemsets,Mean null-model itemsets at K=2 over the 2 35K permutations.,"review:59,415",revision_notes_b3.tex:401,rerun
null_v35k2perm_k2_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=2 over the 2 35K permutations.,review:123.7,revision_notes_b3.tex:401,rerun
null_v35k2perm_k2_z,deterministic,Z,Z (bio - mean) / std at K=2 of the 35K null table.,review:−101.6,revision_notes_b3.tex:401,derived
null_v35k2perm_k2_p,deterministic,p,p-value reported at K=2 of the 35K null table.,review:1.0,revision_notes_b3.tex:401,derived
null_v35k2perm_k3_bio,deterministic,itemsets,Biological itemsets at K=3 of the 35K 0.001% run as printed in the 2-permutation null table (tab:null-model-35k; BX-06: differs slightly from tab:kdist-35k).,"review:53,235",revision_notes_b3.tex:402;revision_notes_b3.tex:450,rerun
null_v35k2perm_k3_mean,deterministic,itemsets,Mean null-model itemsets at K=3 over the 2 35K permutations.,"review:15,920",revision_notes_b3.tex:402,rerun
null_v35k2perm_k3_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=3 over the 2 35K permutations.,review:51.6,revision_notes_b3.tex:402,rerun
null_v35k2perm_k3_z,deterministic,Z,Z (bio - mean) / std at K=3 of the 35K null table.,review:+722.9 (≈723),revision_notes_b3.tex:390;revision_notes_b3.tex:402;revision_notes_b3.tex:423;revision_notes_b3.tex:645,derived
null_v35k2perm_k3_p,deterministic,p,p-value reported at K=3 of the 35K null table.,review:≈0,revision_notes_b3.tex:402,derived
null_v35k2perm_k4_bio,deterministic,itemsets,Biological itemsets at K=4 of the 35K 0.001% run as printed in the 2-permutation null table (tab:null-model-35k; BX-06: differs slightly from tab:kdist-35k).,"review:59,095",revision_notes_b3.tex:403;revision_notes_b3.tex:451,rerun
null_v35k2perm_k4_mean,deterministic,itemsets,Mean null-model itemsets at K=4 over the 2 35K permutations.,review:872,revision_notes_b3.tex:403,rerun
null_v35k2perm_k4_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=4 over the 2 35K permutations.,review:2.8,revision_notes_b3.tex:403,rerun
null_v35k2perm_k4_z,deterministic,Z,Z (bio - mean) / std at K=4 of the 35K null table.,"review:+20,585 (>20,000)",revision_notes_b3.tex:390;revision_notes_b3.tex:403;revision_notes_b3.tex:645,derived
null_v35k2perm_k4_p,deterministic,p,p-value reported at K=4 of the 35K null table.,review:≈0,revision_notes_b3.tex:403,derived
null_v35k2perm_k5_bio,deterministic,itemsets,Biological itemsets at K=5 of the 35K 0.001% run as printed in the 2-permutation null table (tab:null-model-35k; BX-06: differs slightly from tab:kdist-35k).,"review:62,241",revision_notes_b3.tex:404;revision_notes_b3.tex:452,rerun
null_v35k2perm_k5_mean,deterministic,itemsets,Mean null-model itemsets at K=5 over the 2 35K permutations.,review:1 / 1.0,revision_notes_b3.tex:389;revision_notes_b3.tex:404;revision_notes_b3.tex:415,rerun
null_v35k2perm_k5_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=5 over the 2 35K permutations.,review:0.0,revision_notes_b3.tex:404,rerun
null_v35k2perm_k5_p,deterministic,p,p-value reported at K=5 of the 35K null table.,review:≈0,revision_notes_b3.tex:404,derived
null_v35k2perm_kge6_bio,deterministic,itemsets,Biological itemsets at K=6-17 of the 35K 0.001% run as printed in the 2-permutation null table (tab:null-model-35k; BX-06: differs slightly from tab:kdist-35k).,"review:348,853",revision_notes_b3.tex:405;revision_notes_b3.tex:432;revision_notes_b3.tex:453,rerun
null_v35k2perm_kge6_mean,deterministic,itemsets,Mean null-model itemsets at K=6-17 over the 2 35K permutations.,review:0,revision_notes_b3.tex:405;revision_notes_b3.tex:416,rerun
null_v35k2perm_kge6_std,deterministic,itemsets,Standard deviation of null-model itemsets at K=6-17 over the 2 35K permutations.,review:0.0,revision_notes_b3.tex:405,rerun
null_v35k2perm_kge6_p,deterministic,p,p-value reported at K=6-17 of the 35K null table.,review:≈0,revision_notes_b3.tex:405,derived
null_v35k2perm_kge5_z,deterministic,Z,Z at K>=5 of the 35K null table: +infinity because the null std is 0 (covers the K=5 and the K=6-17 rows; 'Z=inf for K>=5').,review:+∞,revision_notes_b3.tex:390-391;revision_notes_b3.tex:404;revision_notes_b3.tex:405,derived
null_v35k2perm_k3_enrichment_ratio,deterministic,x,"null_v35k2perm_k3_bio / null_v35k2perm_k3_mean (53,235 / 15,920 = 3.3x more triples than chance).",review:3.3×,revision_notes_b3.tex:423,derived
null_v35k2perm_total_enrichment_ratio,deterministic,x,run_v35k_itemsets / run_v35k_null_itemsets (606K / 111K = 5.5x).,review:5.5×,revision_notes_b3.tex:429,derived
null_v35k2perm_k_levels_beyond,deterministic,K-levels,K-levels beyond the 35K null's reach (K=6 through K=17 = 12 = run_v35k_kmax - run_v35k_null_kmax).,review:12,revision_notes_b3.tex:431,derived
hw_v35k_gpu_count,hardware-dependent,GPUs,"GPUs used for the 35K experiments described in revision_notes_b3 (4 x H200, row-split). The paper's later expanded run used 8 (run_v35k_16p8b_n_gpus).",review:4,revision_notes_b3.tex:22;revision_notes_b3.tex:186;revision_notes_b3.tex:230;revision_notes_b3.tex:239;revision_notes_b3.tex:383;revision_notes_b3.tex:438;revision_notes_b3.tex:602;revision_notes_b3.tex:616;revision_notes_b3.tex:624;revision_notes_b3.tex:651,setup
hw_v35k_gpu_model,hardware-dependent,GPU model,GPU of the 35K experiments: NVIDIA H200 (SXM5 at l.624).,review:H200 (SXM5 at l.624),revision_notes_b3.tex:22;revision_notes_b3.tex:186;revision_notes_b3.tex:220;revision_notes_b3.tex:230;revision_notes_b3.tex:383;revision_notes_b3.tex:438;revision_notes_b3.tex:602;revision_notes_b3.tex:616;revision_notes_b3.tex:624;revision_notes_b3.tex:651,setup
hw_v35k_gpu_vram_gb,hardware-dependent,GB,"VRAM of the H200 as stated in revision_notes_b3: 143 GB (l.22, 187, 220, 641) vs 141 GB (l.625 'H200 SXM5 141 GB') - CONFLICT inside one document (BX-04).",review:143 GB / 141 GB,revision_notes_b3.tex:22;revision_notes_b3.tex:187;revision_notes_b3.tex:220;revision_notes_b3.tex:641;revision_notes_b3.tex:625,setup
hw_v35k_host_ram_tb,hardware-dependent,TB,Host RAM of the 35K experiment machine (1.5 TB).,review:1.5 TB,revision_notes_b3.tex:625,setup
sw_v35k_python,software,version,Python version of the 35K experiments (3.12); the 1K experiments used sw_python.,review:Python 3.12,revision_notes_b3.tex:625,setup
sw_v35k_cupy,software,version,Cupy version of the 35K experiments (13.4); the 1K experiments used sw_cupy.,review:CuPy 13.4,revision_notes_b3.tex:625,setup
sw_v35k_numpy,software,version,Numpy version of the 35K experiments (2.0); the 1K experiments used sw_numpy.,review:NumPy 2.0,revision_notes_b3.tex:626,setup
sw_v35k_cuda,software,version,Cuda version of the 35K experiments (12.6); the 1K experiments used sw_cuda.,review:CUDA 12.6,revision_notes_b3.tex:626,setup
sw_v35k_os,software,version,Operating system version of the 35K experiments (Ubuntu 22.04); the 1K experiments used sw_os.,review:Ubuntu 22.04,revision_notes_b3.tex:626,setup
sw_nccl_overflow_int_width,software,integer width,Integer width of the NCCL reduction overflow bug (int32) present in the run that produced the paper's expanded (Run 2) K=1..8 counts.,review:int32,senior_review_jun01.md:143,setup
sw_nccl_overflow_fix_commit,software,commit,Commit fixing the NCCL int32 overflow (f8c56cb5).,review:f8c56cb5,senior_review_mar23.md:74,setup
sw_nccl_per_gpu_count_bound,software,counts,PROJECT_STATE's correctness argument for the pre-fix run: per-GPU counts < 2^31 (not independently re-verified by re-running).,review:< 2^31,senior_review_mar23.md:74,derived
run_v35k_16p8b_itemsets,deterministic,itemsets,"Cumulative itemsets of the expanded (35K-vocabulary, 109M-protein) run reported by the post-March paper (16,812,646,639 = '16.8 billion' through K=8; sum verified by the June review).","review:16,812,646,639 / 16.8 billion",senior_review_jun01.md:18;senior_review_jun01.md:98;senior_review_jun01.md:143;senior_review_mar23.md:86,rerun
run_v35k_16p8b_kmax,deterministic,K,Depth reached by the paper's expanded run (K=8).,review:K=8,senior_review_jun01.md:143,rerun
run_v35k_16p8b_time_h,hardware-dependent,h,Wall-clock of the paper's expanded run (4.3 hours).,review:4.3 hours,senior_review_jun01.md:123;senior_review_jun01.md:143,hardware
run_v35k_16p8b_n_gpus,hardware-dependent,GPUs,"GPUs of the paper's expanded run (8: '~56 GB/device x 8', '$3.50/GPU/hour x 8'); revision_notes_b3's 35K runs used 4 (hw_v35k_gpu_count).",review:8,senior_review_jun01.md:78;senior_review_jun01.md:92,setup
run_v35k_16p8b_bug_levels,deterministic,K range,"K-levels of the paper's expanded run whose counts come from the run with the NCCL int32 bug present (K=1 through K=8; fixed in sw_nccl_overflow_fix_commit, never re-verified by re-running).",review:K=1 through K=8,senior_review_mar23.md:74,rerun
run_v35k_16p8b_vs_v35k_itemset_ratio,deterministic,x,"run_v35k_16p8b_itemsets / run_v35k_itemsets (~27,000x; attributed by the June review to the NCCL int32-overflow fix).","review:~27,000×",senior_review_jun01.md:143,derived
run_opus_vs_prior_transaction_ratio,deterministic,x,"The paper's '769x more transactions than the next largest GPU system' claim (line 456 of the March-reviewed version); arithmetically dataset_multi_feature / 100K = the CPU systems' size, whereas GMiner (15M) gives run_opus_vs_gminer_transaction_ratio = 5.1x.",review:769×,senior_review_mar23.md:52;senior_review_mar23.md:54;senior_review_mar23.md:56,derived
mem_v35k_bitvec_gb,deterministic,GB,"Total bit-packed bitvector matrix of the 35K dataset: 109.2M x 35,012 bits / 8 = 478 GB decimal (revision_notes_b3: 477 GB). The paper's '~445 GB' equals 445.19 GiB; '~56 GB/device x 8' = 448 (June review, GB/GiB mix).",review:477 GB / ~445 GB / 448 GB / 478 GB / 445.19 GiB,revision_notes_b3.tex:186;revision_notes_b3.tex:629;senior_review_jun01.md:78,derived
mem_v35k_bitvec_per_device_gb,deterministic,GB,"Bitvector shard per device under the 4xH200 row split (~119 GB, with mem_v35k_headroom_gb left over).",review:~119 GB,revision_notes_b3.tex:187;revision_notes_b3.tex:241;revision_notes_b3.tex:628,derived
mem_v35k_16p8b_bitvec_per_device_gb,deterministic,GB,Bitvector shard per device in the paper's 8-GPU expanded run (~56 GB; = 55.6 GiB per the June review).,review:~56 GB/device / 55.6 GiB,senior_review_jun01.md:78,derived
mem_v35k_headroom_gb,hardware-dependent,GB,"Per-device VRAM headroom left for workspace allocations in the 4xH200 row split (12 GB; BX-08: 119 + 12 = 131, not 143/141).",review:12 GB,revision_notes_b3.tex:187,setup
mem_bitvec_cost_model,deterministic,formula,Bitvector memory / cost model of the SON-vs-row-split argument: chunk matrix |F| x ceil(N_chunk / 64) x 8 B; T_bitvec = |C_K| . K . ceil(N / 64).,review:|F| × ⌈N/64⌉ × 8 B ; T_bitvec = |C_K|·K·⌈N/64⌉,revision_notes_b3.tex:207;revision_notes_b3.tex:215-216;revision_notes_b3.tex:271;revision_notes_b3.tex:642,setup
mem_v35k_son_chunk_bitvec_gb,deterministic,GB,"Chunk bitvector at N_chunk = 40M transactions with 35,012 features (175 GB, exceeding the H200 VRAM).",review:175 GB,revision_notes_b3.tex:216;revision_notes_b3.tex:641,derived
mem_v35k_son_chunk_bitvec_reduced_gb,deterministic,GB,Chunk bitvector at N_chunk = 30M (131 GB).,review:131 GB,revision_notes_b3.tex:222,derived
mem_csr_nnz_214m,deterministic,entries,Non-zero entries of the CSR matrix of the full 214M set (never stated in the paper; requested by the June review; cf. csr_nnz = 316M for the 76.9M subset).,review:nnz of the 214M set,senior_review_jun01.md:76,rerun
mem_dense_vs_bitvec_ratio,deterministic,x,dense_gb / bitvec_gb (206 GB / 26 GB ~ 8x; June review).,review:~8×,senior_review_jun01.md:77,derived
extract_v35k_parser_records_per_s,hardware-dependent,records/s,Throughput of the Rust UniProt .dat.gz parser dat_to_tsv.rs used for the 35K extraction (95.6K records/s).,review:95.6K records/s,revision_notes_b3.tex:182,hardware
extract_v35k_build_tx_lines_per_s,hardware-dependent,lines/s,Throughput of the two-pass Rust transaction builder build_tx.rs (495K lines/s).,review:495K lines/s,revision_notes_b3.tex:183,hardware
extract_v35k_build_tx_time_s,hardware-dependent,s,Frequency counting + feature remapping time of build_tx.rs (858 s).,review:858 s,revision_notes_b3.tex:184,hardware
ext_ec_hierarchy_levels,external-fact,levels,Levels of the Enzyme Commission hierarchy (4: class.subclass.sub-subclass.serial).,review:4,revision_notes_b3.tex:145,external
ext_h200_highest_capacity_gpu,external-fact,claim,Claim that the NVIDIA H200 (143 GB) is the highest-capacity datacenter GPU currently available.,review:H200 = highest-capacity datacenter GPU currently available,revision_notes_b3.tex:220-221,external
ext_bigminer_transactions_ratio,external-fact,x,Transactions reported by the BIGMiner paper / the value in the paper's scale table (6.5 billion / 100M ~ 65x; June review).,review:≈65×,senior_review_jun01.md:41,external
ext_meysman_overestimate_ratio,external-fact,x,"Paper's ~100K Meysman et al. structures / actual ~32,142 (~3x; June review).",review:~3×,senior_review_jun01.md:47,external
ext_djenouri2019_speedup,external-fact,x,Speedup reported by Djenouri 2019 (350x; the upper end of ext_prior_gpu_fim_speedup_range; ext_gpapriori_speedup = 100x is the lower end).,review:350×,senior_review_jun01.md:54,external
cost_expanded_run_usd,hardware-dependent,USD,"Cost of the paper's expanded run ($332 stated, r940/r965; the paper's own formula 3.50 x 8 x 12 gives $336).",review:$332 / $336,senior_review_jun01.md:91;senior_review_jun01.md:92,hardware
cost_comparison_usd,hardware-dependent,USD,Comparison cost in the paper's cost-saving argument ($90).,review:$90,senior_review_jun01.md:91,hardware
cost_saving_usd,hardware-dependent,USD,"Stated saving ($243, r965) vs cost_expanded_run_usd - cost_comparison_usd = 332 - 90 = $242.",review:$243 / $243 → $242,senior_review_jun01.md:91,derived
cost_gpu_hour_usd,external-fact,USD per GPU-hour,"GPU rental price used in the paper's cost formula ($3.50/GPU/hour, r940).",review:$3.50/GPU/hour,senior_review_jun01.md:92,external
cost_expanded_run_hours,hardware-dependent,h,Run duration in the paper's cost formula (~12 h; $332 implies 11.86 h at 8 x $3.50).,review:~12 h / 11.86 h,senior_review_jun01.md:92,hardware
misc_rowsplit_allreduce_per_level,method-parameter,operations,Allreduce operations per K-level in the row-split multi-GPU architecture (1).,review:1,revision_notes_b3.tex:242;revision_notes_b3.tex:630,setup
misc_hashtree_cost_model,deterministic,formula,"Hash-tree (sparse) Apriori cost model of the complexity argument: T_sparse = N . C(|t|, K).","review:T_sparse = N · C(|t|, K)",revision_notes_b3.tex:286,setup
misc_hashtree_subsets_per_txn_k5,deterministic,subsets,"C(12, 5) = 792 subsets per transaction at K=5 for the 35K dataset's |t| ~ 12.",review:792,revision_notes_b3.tex:292,derived
misc_hashtree_subset_enumerations_k5,deterministic,enumerations,792 x 109M ~ 8.6e10 subset enumerations at K=5 alone.,review:8.6 × 10^10,revision_notes_b3.tex:293,derived
misc_bitvec_words_per_candidate,deterministic,64-bit operations,ceil(109e6 / 64) ~ 1.7e6 64-bit operations per candidate at any K (bitvector cost).,review:~1.7 × 10^6,revision_notes_b3.tex:295-296;revision_notes_b3.tex:300,derived
misc_hypothetical_txn_length,method-parameter,items,Hypothetical average transaction length in the complexity argument (|t| = 100).,review:100,revision_notes_b3.tex:297,setup
misc_hashtree_subsets_per_txn_len100_k5,deterministic,subsets,"C(100, 5) = 75,287,520 subsets per transaction at |t| = 100, K=5.","review:75,287,520",revision_notes_b3.tex:298,derived
misc_go_truepath_free_cooccurrences,deterministic,co-occurrences,'Free' GO co-occurrences per protein contributed by true-path hierarchical nesting in the 1K vocabulary (up to 7-8).,review:7–8,revision_notes_b3.tex:347,derived
misc_cross_source_pattern_categories,deterministic,categories,Categories of cross-source patterns enabled by the four added annotation sources (6).,review:6,revision_notes_b3.tex:476,derived
misc_pruning_saving_1_pct,hardware-dependent,%,"Projected K=9 runtime saving of pruning technique 1 in the paper's Table 8 (68%; a projection, never measured; the June review's retained factor 0.32 = 1 - 68% is keyed here too).",review:0.32 / 68%,senior_review_jun01.md:101;senior_review_mar23.md:42,hardware
misc_pruning_saving_2_pct,hardware-dependent,%,"Projected K=9 runtime saving of pruning technique 2 in the paper's Table 8 (12%; a projection, never measured; the June review's retained factor 0.88 = 1 - 12% is keyed here too).",review:0.88 / 12%,senior_review_jun01.md:101;senior_review_mar23.md:42,hardware
misc_pruning_saving_3_pct,hardware-dependent,%,"Projected K=9 runtime saving of pruning technique 3 in the paper's Table 8 (4%; a projection, never measured; the June review's retained factor 0.96 = 1 - 4% is keyed here too).",review:0.96 / 4%,senior_review_jun01.md:101;senior_review_mar23.md:42,hardware
misc_pruning_saving_4_pct,hardware-dependent,%,"Projected K=9 runtime saving of pruning technique 4 in the paper's Table 8 (2%; a projection, never measured).",review:2%,senior_review_mar23.md:42,hardware
misc_pruning_combined_saving_pct,hardware-dependent,%,Combined projected K=9 runtime reduction of the pruning techniques (73% = 1 - 0.32 x 0.88 x 0.96; abstract states it unqualified).,review:73%,senior_review_jun01.md:102;senior_review_jun01.md:115;senior_review_mar23.md:42,hardware
misc_pruning_k,deterministic,K,K-level of the pruning projection (9).,review:K=9,senior_review_jun01.md:115;senior_review_mar23.md:42,setup
misc_growth_factors_n,deterministic,factors,"Number of growth factors listed in the June-reviewed paper (7, all verified by the review; the quantity is not identified in the review text - plausibly the seven K-to-K growth factors of the expanded run's K=1..8 counts).",review:7,senior_review_jun01.md:99,derived
misc_growth_factor_max,deterministic,x,Largest of the paper's growth factors (25.8x); see misc_growth_factors_n.,review:25.8×,senior_review_jun01.md:99,derived
misc_growth_factor_min,deterministic,x,Smallest of the paper's growth factors (3.4x); see misc_growth_factors_n.,review:3.4×,senior_review_jun01.md:99,derived
meta_review_jun01_tex_lines,deterministic,lines,Line count of et_miner_proteome.tex in the version reviewed on 2026-06-01 (968).,review:968,senior_review_jun01.md:4,external
meta_review_jun01_bibitems,deterministic,entries,"\bibitem entries in the reviewed version (37, r574-757).",review:37,senior_review_jun01.md:31,external
meta_review_jun01_cite_keys,deterministic,keys,"Distinct \cite keys in the reviewed version (32, all resolving).",review:32,senior_review_jun01.md:31,external
meta_review_jun01_coin2009_pages,external-fact,pages,coin2009 (actually Terrapon et al.) page range: 3077 -> 3077-3083.,review:3077 → 3077–3083,senior_review_jun01.md:39,external
meta_review_jun01_varadi2022_pages,external-fact,pages,varadi2022 page range: 50(D1):D419-D427 -> D439-D444 (copy error from mistry2021).,review:50(D1):D419–D427 → D439–D444,senior_review_jun01.md:40;senior_review_jun01.md:149,external
meta_review_jun01_mistry2021_pages,external-fact,pages,"mistry2021 page range D412-D419 (r712), the source of the varadi2022 copy error.",review:D412–D419,senior_review_jun01.md:40,external
meta_review_jun01_acmsurvey2021_pages,external-fact,issue/pages,"acmsurvey2021 issue and pages: 54(7):1-36 -> 54(9), Article 179 (179:1-179:35).","review:54(7):1–36 → 54(9), Article 179 (179:1–179:35)",senior_review_jun01.md:48,external
meta_review_jun01_fang2009_reference,external-fact,reference,"fang2009 bibitem carries the 2008 HKUST tech-report title; the DaMoN 2009 paper is 'Frequent itemset mining on graphics processors', pp 34-42.","review:2008 tech-report title vs DaMoN 2009 paper, pp 34–42",senior_review_jun01.md:49,external
meta_review_jun01_chon2024_reference,external-fact,reference,"chon2024: ESWA vol 250, Art. 123928 (title paraphrased wrongly in the bibitem).","review:vol 250, Art. 123928",senior_review_jun01.md:50,external
meta_review_jun01_varadi2024_pages,external-fact,pages,varadi2024 page range: 52(D1):D368 -> D368-D375.,review:52(D1):D368 → D368–D375,senior_review_jun01.md:51,external
meta_review_jun01_chon2018b_pages,external-fact,pages,chon2018b pages: 21:1507-1521 -> 21(3):1507-1520.,review:21:1507–1521 → 21(3):1507–1520,senior_review_jun01.md:52,external
meta_review_jun01_savasere1995_pages,external-fact,pages,savasere1995 pages missing in the paper -> pp. 432-444.,review:pp. 432–444,senior_review_jun01.md:53,external
meta_review_jun01_gpu_cite_cluster_cpu_algorithms,external-fact,citations,"CPU algorithms (han2000 FP-Growth, zaki2000 Eclat) bundled inside the GPU-speedup citation cluster (2).",review:2,senior_review_jun01.md:54,external
meta_review_jun01_orphan_bibitems,deterministic,entries,"Bibitems never cited (5: webb2007, webb2014, abramson2024, zaki1997, miettinen2020).",review:5 (cited 0×),senior_review_jun01.md:59-60,external
meta_review_jun01_csr_size_variants,deterministic,figures,Distinct unlabelled sizes given for 'CSR' in the paper (3: ~3 / 5.1 / 19 GB).,review:3 (3 / 5.1 / 19 GB),senior_review_jun01.md:76;senior_review_jun01.md:152,external
meta_review_jun01_endash_examples,external-fact,examples,"En-dash range examples cited by the review as consistently typeset (70-90, 583-589, K=4-8).",review:70–90 / 583–589 / K=4–8,senior_review_jun01.md:109,external
meta_review_jun01_etminer_spelling_count,deterministic,occurrences,Occurrences of the spelling 'ET-miner' in the reviewed version (40+) versus a single 'ET-Miner' (r795).,review:40+,senior_review_jun01.md:121,external
meta_review_jun01_author_model_name,software,name,Model name in the author info ('Opus4.6' -> 'Opus 4.6').,review:Opus 4.6,senior_review_jun01.md:125,external
meta_review_mar23_citations_spot_checked,external-fact,citations,"Citations spot-checked by the 2026-03-23 review (6: Jumper 2021, Agrawal 1994, Han 2000, Chon 2018, Abramson 2024, Naulaerts 2015; 0 hallucinated).",review:6 (0 hallucinated),senior_review_mar23.md:80,external
