uniprotAccession,globalMetricValue
A0A075FYX0,95.88
A0A075I732,95.5
A0A832CU87,91.5
A0A558G2V4,88.25
A8SX41,71.56
Q64C95,93.19
Q648H3,39.5
A6VHT6,89.12
A0A650CU34,90.25
A0A090I9V8,86.94
A0A7J9PAH3,93.81
A0A7J4IZB2,87.5
D0UHS4,74.31
A0A285F9P8,92.31
A0A1N7FSK8,92.94
A0A650CYM4,91.44
A0A643K027,88.19
A0A643JSA1,84.38
M9WR61,95.12
A0A1N7FS66,92.62
A0A1L3Q3S1,84.44
A0A5B9DBJ8,68.62
A0A558GE89,81.94
A0A510N567,88.12
A0A090JTK7,86.06
A0A1N7CMZ0,85.12
A0A0D3LYD8,98.5
A0A101IL00,85.44
G4GP34,71.12
A0A510N8F4,91.88
G3KDW0,78.12
A0A1N6Z2Z7,76.81
C8BMH5,70.88
A0A7J4JK71,88.38
G4WGS4,69.69
E7QMY3,78.25
A0A520KHJ1,92.19
A0A090I0N4,57.16
A0A7J9P5J9,93.88
A0A1B1TEI6,92.81
A0A2J6N937,90.12
A0A832FZN1,89.5
A0A160VSK7,96.19
D6MY15,77.5
A0A1B1TDT9,94.81
A0A1B1TG09,66.25
A0A643JUQ7,92.81
A0A7J3VRX3,94.69
O59630,91.88
A0A1B1TB57,97.0
A0A7J4KS50,41.47
A0A7J4JZ56,85.19
A0A1B1T9H7,81.0
A0A7J9S8C0,94.31
A0A7G9YXK9,78.19
A0A7G9YCU3,90.88
A0A7G9Y4J9,95.56
A1XW48,77.31
A0A847UJY3,91.88
Q5V6A9,97.0
Q5UZ99,86.81
G4WM09,98.0
R4I3K6,74.25
A0A2R2Y744,72.0
A0A7G9Z3I0,91.62
A0A7G9YFB6,75.81
A0A1H5YG22,60.22
Q5V5K1,84.06
Q5UY64,74.94
A0A0E3GSU5,94.0
A0A6C0UZV1,89.12
B3T2V7,91.44
A0A075HIF0,95.5
A0A075FXW5,67.19
A0A075GN03,77.88
B3T8T2,81.81
A0A7G9Z8W8,80.69
A0A7G9Y8Q8,77.5
A8KNY0,98.5
A0A830FUK9,94.56
A0A075HEX7,84.0
A0A075ID91,89.69
A0A075FNP9,64.5
A0A0S1TLN2,76.69
B3UYU0,74.56
B3TAB4,87.38
A0A0U2W1E0,95.94
B2YHT3,78.06
A0A1H5VFB7,85.94
A0A830FA81,82.75
A0A832ZJF2,70.62
G4VXQ2,72.69
A0A0U3GH14,95.31
A0A1H6BQA2,93.75
Q468D0,73.12
A0A2J6NA10,83.94
D8J4U7,82.0
A0A7G9YYN8,81.44
A0A7G9ZC96,78.5
A0A7G9Z638,93.75
A0A830FK98,66.81
A0A075HHZ1,92.81
A0A075IAV9,83.38
B3TBJ2,86.25
A0A345S6M5,97.69
F1D898,74.19
A0A2J6N2V6,87.31
A0A0N9E570,97.81
A0A0F7PAT5,83.88
V5M1E2,74.38
A0A0F7P996,95.06
A0A1H5UGA4,90.0
A0A0S1TLK3,70.69
E7QXD6,55.62
A0A0N8PQI9,93.94
E7QV06,74.56
A0A6C0UV79,94.75
A0A1H5SR22,79.44
A0A1H5ZHT7,79.56
A0A088E608,84.5
A0A1B1TBH6,88.0
O93738,96.31
A0A6C0UPP2,85.06
A0A520KEM6,96.0
A0A088MVX3,72.12
A0A2J6N3Q2,73.5
I3R1N8,86.56
A0A0Q2M4A2,86.62
A0A510N3N6,82.69
I3R682,95.12
D0EGK2,66.12
A0A088E645,50.38
D6PBK5,93.19
A0A1B1TBW8,91.88
A0A1B1TC74,79.0
A0A830F9M1,90.94
A0A7J3ZL55,91.88
A0A7J2TKP7,87.75
A0A7J2TKR9,96.38
A0A7J3KHN0,88.69
A0A7G9YYD8,83.38
A0A7G9YNJ5,88.06
A0A2R2Y6B4,70.06
A0A7J3XX66,85.75
A0A830FIR1,92.75
A0A7J3ZKL9,84.56
A0A7J3MXT8,83.62
A0A7J3N0A2,93.5
A0A7J3MYM1,92.56
D8J968,89.06
A0A7J3MZS0,94.5
A0A1I0FCR3,76.62
A0A7J3ZL45,85.75
A0A7J2U3F0,94.0
A0A7J2U010,68.19
A0A7J2TM47,84.56
A0A7J3M0E7,88.75
A0A7G9YBT9,80.5
A0A2R2Y5X2,63.62
C1JDK6,71.44
A0A1D8S259,87.31
A0A7J2U047,95.12
A0A7J3I8L3,89.81
A0A7J3M3Z9,94.5
I3R8L4,90.5
A0A0U3GIA8,84.5
D8J5L9,88.06
A0A1G6RW70,65.81
A0A7J3KG00,46.91
A0A7J3ZKY4,89.38
A0A7G9YZC8,93.69
A0A7G9YM26,48.66
D5JYD9,63.81
I3R1W4,96.44
A0A7J3SNL6,92.38
A0A7J3Z999,38.0
A0A7J3PKQ3,88.75
A0A7J3M647,91.62
A0A7G9YLY2,97.88
A0A7J3TGE2,94.25
A0A7J3IAL2,95.69
A0A7J3I8G5,88.19
A0A7J3ZLL6,91.62
A0A7J3YU20,87.69
A0A7J2TJT0,96.69
A0A0U2WZX7,94.0
A0A7G9Z172,96.12
D8J3V1,91.94
Q3BB05,93.31
A0A7J2TIA4,94.94
A0A7J3XY21,93.88
Q5V7N2,63.0
A0A7J4IUX4,76.5
D0KPR4,86.62
A0A101FVY5,95.75
A0A0U3FN59,95.12
A0A7G9Z4M3,88.56
A0A7G9YL08,78.0
A0A832ZBE8,92.5
O93638,88.06
A0A811T7U9,79.5
Q5V4X4,85.69
G4WL65,98.0
E7QZL1,89.75
A0A0E3Q6E9,87.12
A0A0E3KDM5,96.06
A0A0U3GMZ6,85.81
E7QQH3,88.69
E7QMM3,40.97
Q5V6A3,95.81
A0A0U2X2Y8,72.38
Q5V1Q1,88.88
A0A0K2SUS8,97.19
A0A0E3KA09,96.56
A0A0F2LN49,89.12
A0A7G9Z2U0,92.31
A0A7G9Z3C4,95.19
G4WGH9,65.94
A0A558GAR7,90.12
A0A0U3HMY4,89.44
A0A0U3HB35,55.56
Q5EGJ7,97.81
E7QTN6,96.25
B5T8U4,72.5
D0KMW6,95.88
A0A558GBM4,93.62
A0A0E3MFD0,86.69
A0A7G9YM82,83.94
A0A7G9YGS8,93.5
A0A7G9YDF6,47.16
A0A097ICG2,95.0
A0A8B3RZP9,89.12
U5TR96,98.56
E7QYL2,63.84
A0A7J9S6W3,73.62
A0A558GDJ7,95.5
I3R8X0,87.25
I3R5E8,88.12
A1XVY0,96.38
Q5UWD0,78.56
Q5UXZ9,94.38
E7QRD2,89.69
Q8X278,36.94
A0A650CS47,95.25
A0A7G9ZBY8,85.19
I3R5L3,79.25
A0A7G9Y2D9,74.0
A0A7G9Y1Y4,36.0
A0A2R2Y632,72.81
A0A2R4RN99,93.19
B3T8T7,91.56
A0A075GQH3,81.56
A0A075HNE7,93.12
A0A832ZJ21,97.38
E7QVV8,69.0
A0A7G9Z6K0,81.69
Q3C117,54.09
A0A075H055,89.56
A0A075HF73,81.38
A0A075HHS4,95.94
A0A075HM08,87.06
A0A075HT46,81.75
A0A075FTW8,95.62
A0A075IAA3,81.75
A0A2L1CBZ8,87.62
A0A7G9Y0A2,90.25
A0A7G9YS53,58.22
A0A7G9Y8L2,87.19
A0A7G9YA06,91.62
A0A2R2Y5D9,67.62
D8J9N0,28.94
Q469L0,82.62
A0A075GPV8,89.38
A0A075GAC1,92.12
A0A075FN99,88.0
A0A650CT00,92.88
A0A643JZS3,82.88
A0A0F2LRC3,90.69
A0A7G9Z892,89.5
D0EHC4,77.25
A0A7G9YXU1,68.12
A0A075FMA2,88.56
A0A0E3KD38,97.38
A0A0F2LT10,96.38
A0A643K1D0,83.75
A0A7G9YDP3,97.19
A0A7G9Y3A9,50.84
A0A7G9YMD2,92.75
A0A7G9YW49,88.94
D8J8T7,95.31
B3T930,91.31
A0A075GE66,82.31
Q5V0M4,95.44
G4WLD3,97.88
C8BMI1,65.0
A0A0F2LRE8,81.12
A0A0F2LQ18,88.81
A0A0U3GQP5,92.44
A1XW94,67.69
A0A7G9Z1L7,87.88
A0A7G9YF85,83.56
D8J9U0,84.25
B3TBY6,90.94
A0A075G8V7,92.56
A0A075HXK9,95.19
A0A075I776,86.19
Q46CC7,81.62
Q5UYI8,96.88
E7QYG7,82.12
A0A650CVH2,88.25
A0A0F2LM86,88.5
A0A0U2XZR9,92.69
A0A0U3H3T7,95.75
A0A7G9YV36,82.31
A0A7G9Z0R3,90.88
A0A7G9XZW6,90.19
A0A075GUS2,85.69
A0A075HAU3,85.88
Q469T0,78.19
A0A0X3BLH2,94.31
A0A558GBQ6,79.25
A0A1Q1NAQ8,95.25
A0A124FC40,92.75
Q46GH1,87.38
D0KN89,89.25
A0A124FSK9,95.12
A0A117MD83,91.5
A0A150IMA1,92.62
A0A088E4J5,95.12
H8ZZ47,80.06
Q9HHC1,33.66
A0A1H6AIQ1,82.19
A0A101IU63,83.06
A0A150J099,87.56
A0A2L1C8C6,93.44
A0A0Y0BN56,97.19
A0A117KU48,92.75
A0A101GSP0,95.38
A0A101IM31,83.5
A0A5J6DF56,68.06
A0A0X3BLI9,92.5
A0A0A7V3F2,87.19
A0A1H7LAS9,91.25
A0A1H7L1I1,88.31
A0A101GR04,90.81
A0A558G9U7,89.88
A0A7J3V0M9,96.25
A0A7G9ZAL9,90.44
A0A075GNM9,90.44
A0A075FHT6,91.81
A0A7J3G4T9,86.56
A0A7J3G4X2,88.69
A0A7G9Z0J8,83.69
A0A7G9Y6B6,86.94
A0A7J3SJX9,64.75
A0A7J2U329,95.5
A0A7J3M1X2,62.06
A0A0F6Y945,86.38
A0A0F6Y985,91.0
Q46FK2,76.62
A0A7G9YA47,72.31
A0A7J2TI51,93.19
A0A7J2TKK0,87.25
A0A075G9A5,92.19
A0A075IF92,91.75
A0A075GBY5,90.44
A0A075GR69,94.5
A0A075FRV6,95.0
A0A075FSC9,80.94
A0A7J3VU25,92.44
A0A7G9YRQ1,52.31
A1XW59,67.0
A0A1I7ACU3,80.31
A0A7J3MZU3,91.94
A0A7J3MZ65,56.25
A0A075HWQ5,95.38
A0A075GI50,88.56
A0A075FQE8,92.62
A0A0U2NC73,62.94
A0A7G9Z759,94.44
A0A7J3Z5G6,96.62
A0A7J2TZP0,94.88
A0A075HGU1,79.31
A0A075HHG3,88.69
A0A075I5A1,88.94
A0A075GTT2,81.38
A0A075HY85,87.88
A0A075HDU7,80.62
A0A075HYL3,85.31
A0A075FR40,88.88
A0A075G049,88.75
B9LV50,92.25
I3R3G1,92.0
A0A1D8S5M3,93.0
A0A7J3MWV6,93.75
A8SWT1,72.81
A9A9J4,83.69
V6ASE1,93.94
A0A075G3N2,96.19
A0A075GM12,93.44
A0A2L1C9Y8,80.88
I3R897,95.19
A0A7G9ZDG6,94.19
A0A1H9Z275,96.12
A0A7J3Z9D4,84.5
A0A7J3MZN6,92.44
A0A0H4T2U1,83.31
A0A075GLD3,82.69
F5CNM1,74.69
A0A2R2NVR2,80.81
D9CGE2,83.75
D8J6C0,86.62
B3T2Y4,87.19
A0A0G3U6J2,64.5
A0A7J4IZL7,91.62
B3T744,83.88
A0A0F7P6V0,89.75
A0A7J4ISM8,35.0
A0A2R2Y606,69.19
B3V6S1,57.44
D8JCT0,75.44
E0A1H4,85.62
A0A0G3U5N2,73.94
A0A2R2Y6Q0,72.75
A0A2R6B7N7,86.75
D8J3T6,86.81
F5A6B0,95.0
R9XTQ5,69.38
A0A248A900,77.31
A0A0G3U4R3,73.94
B3T991,94.88
A0A1N5U7S4,90.0
D8J962,96.19
B3T482,92.94
A0A1N5UU61,89.38
A0A1L3Q1Y4,95.94
F7PNX7,90.5
D0KTP3,97.5
Q46DY7,74.69
Q46A51,96.88
A0A075H8K5,84.0
A0A075HY11,94.31
A0A075FR59,78.75
A0A075I7C1,97.81
D3X6Q0,77.94
F7PQI2,94.75
A0A1N7A3N1,90.81
A0A124FSG7,88.94
Q468N0,88.81
Q46B79,93.81
A0A075HWP3,96.5
A0A075I818,87.06
A0A075I0I9,75.81
A0A075FSZ1,69.94
A0A6C0UZP1,64.81
Q6X9N6,89.44
A0A101DZ95,49.53
A0A0X3BIJ2,88.62
A0A075GQA3,87.62
A5YS84,88.94
A5YS07,83.44
A0A6C0US40,91.81
B3GBP4,66.25
A0A101II51,83.12
Q46BX4,87.31
A0A075HV05,94.88
A0A075GR13,87.69
A0A075IFN4,85.06
A0A075HJ95,69.06
A0A075HPG0,76.0
F7PJ55,89.0
E3VP52,97.31
Q46BB4,89.75
A0A077YUB4,47.47
A0A075HVH6,93.56
A0A075FZC7,88.19
A0A024BLN3,72.0
A0A1N5VCY8,73.88
A0A088E5B8,66.62
D0KUB9,97.06
A0A075I3C1,96.31
A0A075H6C5,93.69
A0A075FHG2,86.69
A0A150IR15,70.44
A0A160VS20,92.94
A0A075GA04,96.38
A0A075I045,90.12
K0IEQ0,63.53
Q6L1P7,83.31
A0A1K2FG62,98.12
V6AV25,82.81
A0A075I9R2,96.88
A0A075HT94,91.38
A0A075I303,89.75
V5M1I8,71.5
A0A075HAI8,91.0
A0A075HEG9,95.81
A0A075H032,96.0
A0A075H916,84.25
A0A075HAZ6,52.62
A0A075GWH5,89.75
A0A101IHW6,88.5
A0A076L7R8,73.5
A0A075H0I9,93.94
A0A1J5U0S9,92.38
G8JYK7,93.5
A0A0F7PCU1,83.94
A9CU07,69.75
A0A075H5S7,89.88
A0A075GQD5,90.88
A0A075GMC8,74.44
D0KPE4,92.19
A0A558G7T1,70.25
A0A160VT28,84.44
A0A160VTM4,96.12
A0A075GSE4,57.09
A0A075H3H2,90.38
A0A075H832,85.25
A0A220SXM1,81.75
A0A0N0BNE0,88.69
H9TFK1,82.12
A0A075HJ17,73.88
A0A075G8B1,65.88
A0A075GL13,96.25
A0A7J3TH64,93.19
A0A7J3I674,71.38
A0A7J3M160,96.25
A0A7J3M443,97.06
A0A7J3XXS2,94.19
H9TG50,82.94
A0A075HJA9,90.5
A0A075HUB2,97.5
A0A075FTA5,83.81
A0A075IH04,88.12
A0A075GS20,94.75
A0A075ICK7,96.94
A0A510N6K4,94.19
A0A7J3Z8F4,95.62
A0A0B5AIG7,98.0
A0A5N5U505,95.19
A0A075H8R8,76.56
A0A150JAD4,92.81
A0A1H5UH49,85.88
A0A7J3X525,90.38
A0A7J2U515,90.94
A0A075G5I9,76.62
A0A075HYH5,96.25
A0A075HXU4,88.44
A0A075GRE2,66.31
A0A075GFF1,36.22
A0A6C0UML3,89.56
A0A150ILU9,86.62
A0A7J3N0U4,93.0
A0A510N6B0,79.81
A0A1S7B2K1,98.5
A0A075G4T3,78.38
A0A075HAH7,85.69
A0A075GX46,88.25
A0A6C0UYX3,89.75
A0A150IM96,95.25
A0A150J1Y7,89.5
A0A7J3SK97,92.44
A0A075GT87,91.5
A0A075GWN4,86.44
A0A075G4D6,78.06
A0A075G6E4,52.88
A0A088E867,77.5
A0A1G6RXM5,92.88
A0A7J3X8R0,91.44
A0A7J2U1V7,82.62
W0JUJ5,63.03
A0A0M5N6R1,72.0
A0A5N5UF78,93.0
A0A075H3I6,76.81
A0A075GQE2,35.94
Q19VF8,95.62
A0A088E6D9,90.88
A0A1I0DD40,83.75
A0A7J3QER5,88.56
A0A315B722,78.62
L0JI69,95.56
L0JJA9,60.5
A0A3G8E6A5,87.31
A8SX91,69.44
Q50215,98.19
A0A0H4TK84,91.06
A0A1H6CMS4,87.69
L0JKY8,87.0
L0AGP6,57.5
Q9V0H4,90.69
F6N377,75.44
L0GE18,76.25
L0JFU6,74.19
Q2PRT7,75.25
A0A1H7STK7,92.94
A0A150IL16,57.34
A0A1N6YI61,90.75
A0A1G6R0H1,94.44
A0A7J3QF26,90.88
A0A7J3M598,95.12
A0A101GSA2,93.19
A0A1N7FY59,80.25
D3SY22,77.44
A0A0H4T7V0,94.25
C0LKZ0,97.56
A0A7J4JKC8,89.19
A0A285GKP3,91.44
A0A1N7FAL0,88.88
A0A482TE30,77.38
A0A482T0B5,86.75
A0A1L3PZY0,92.06
A0A170SCZ7,90.81
A0A160VT53,94.81
A0A7J3IA46,97.19
A0A7J4JDN9,88.31
B5LRN8,69.56
A0A0A0V0P0,76.81
D3SZG9,50.53
F8SP25,98.31
A0A161KEW3,94.94
A0A1G6WMP3,88.25
A0A7J3JSU9,96.62
A0A285FXE0,96.12
A0A285GEU8,95.88
A0A1L2JTC6,82.44
A0A1N5UWX1,95.25
A0A1N6X7C0,92.56
D3SZH2,89.31
Q6A0Y1,91.44
F7PNM9,87.81
F7PPS6,93.31
A0A520KFF1,93.31
A0A510N7C0,94.69
A0A7J3QE75,87.06
A0A7J3JRV3,95.38
A0A7J3I9U2,90.38
A0A7J3MX58,94.12
A0A7J2TIK7,91.56
D0KTE5,90.81
A0A285EPI0,97.25
A0A0A1EAD9,73.56
A0A1N5UBP5,91.5
B0KY12,98.25
A0A024BUC0,96.94
F7PN79,90.5
A2THZ7,98.38
A0A088E3E4,84.62
A0A090I145,92.81
A0A7J3ZIQ6,95.19
A0A7J3JR41,92.0
A0A7J3MZU6,84.25
A0A7J3M0N1,94.88
D3SRD2,93.5
A0A1L3Q3P4,84.75
A0A090I5I8,84.62
A0A7J2U4S1,95.69
A0A7J3I7C3,94.38
A0A7J2U605,95.06
A0A0S2RS87,67.19
A0A2R6B5T7,53.84
A0A0N0BN03,92.75
A0A5N5UFV6,70.62
T1W260,82.12
A0A7J4IWG8,83.75
D8JCG7,94.69
A0A7J3VTA3,80.44
A0A7J4IS81,71.06
M1PYG4,97.69
A0A1S7B3E6,96.94
A0A7J3UZK4,94.75
F5CP64,75.75
V9Z597,73.88
A0A0N0UA81,93.88
A0A7J9RZA4,92.69
A0A7J3UYJ6,88.25
R9RIX9,81.62
K4NTD6,71.44
A0A558GFT8,93.56
A0A1B1TG38,84.69
A0A7J9PTF8,94.06
E4NR63,94.0
A0A7C4H3N9,87.44
A0A7C4H5Q4,88.12
A0A7C2ZAH3,95.88
A0A7C4D0Z0,95.19
A0A7J2U2G8,90.06
A0A7J3IA22,80.25
D8J453,65.69
A0A4D6HK40,96.56
A0A7C5XLJ6,94.88
A0A7C4JJI2,95.38
A0A7C4E1I5,93.31
A0A1I6ZG95,83.31
A0A7J3ZL80,94.06
A0A7J3JQR0,87.38
Q6KZE3,93.81
E5L8D2,70.62
A0A7C5XIY3,93.62
A0A7C4E110,85.94
A0A1G6Y9Z5,87.12
A0A1D8S2H7,94.38
A0A7J3QDQ2,92.69
A0A7J2THW7,90.56
D8J6R2,91.88
A0A285EN77,83.31
D2KKU2,72.44
A0A7C4NN15,88.75
A0A7C4DZD6,94.19
A0A1G6I9U3,85.06
A0A7J3N0F7,90.0
A0A1L3Q2V8,91.88
A0A7C4D4A1,91.44
G9BAR2,97.06
A0A1H6AZQ3,86.0
A0A7J3X5S9,84.12
A0A7J3ZJL5,75.19
A0A7J3XZ67,84.19
D8J7Z3,87.12
A0A285EX70,96.19
A0A096ZL39,73.62
A0A4D6HSV9,81.62
E5KK12,75.5
E4NSP2,85.0
A0A7C4S6Y6,91.88
A0A7C1E4V9,91.94
A0A7C1GAJ5,95.25
A0A1I6ZMN7,69.06
A0A7J3JRF6,93.62
A0A7J3I6J8,94.06
D3JVD3,62.25
A0A1N5W112,96.88
E4NVE7,76.31
A0A7C4D2I7,90.88
A0A7C5UV83,94.0
A0A7C5TGT1,86.0
A0A7C4D7Y7,96.38
A0A7C4DZU8,89.88
A0A7C5U5E1,91.88
A0A7J3LZY7,96.25
A0A7J2TJ32,95.44
A0A2R4RNZ5,92.81
D8J8A3,81.31
D8J8B3,96.44
A0A0G3VM97,72.0
A0A285FZZ9,87.0
A0A285EYI9,94.38
A0A285F4D0,90.31
Q5UXB7,87.62
A0A0E3MCF5,97.06
A0A1V1G0B3,94.88
A0A0E3K9Z0,90.69
Q0Z8M8,98.25
A0A160VQS6,84.75
A0A124F8G0,88.0
A0A117MB94,37.72
A0A0Y0AUY5,98.06
A0A1V0N9J9,78.31
F6N3L0,73.62
D0UHU9,81.69
D0KQ25,96.69
A0A101E099,93.38
Q5V0U5,75.69
E7QUS4,77.81
A0A0E3K7P0,89.19
A0A0E3MHV3,94.44
A0A0E3JWA0,92.0
A0A088E4P6,96.5
A0A090I116,91.31
A0A101IJ97,92.81
A0A558GC94,95.81
Q877G3,79.31
A0A345E5S3,95.38
E7QNC3,90.38
A0A410HWT8,97.38
A6VHK9,83.0
A6VJW5,87.0
A0A117KMR0,89.44
A0A101FUC4,78.81
I1WXM1,98.06
A0A0E3MAH7,85.81
C3S5E9,72.12
A0A101IGY9,92.94
B0Z0H8,77.62
A0A7J9NTD6,80.12
L0JQA3,95.56
A0A2H4VNJ3,93.5
A0A2H4V9R1,81.44
A0A7J4IQQ1,68.19
S6DG80,73.88
A0A2D3I260,98.0
A0A0Q2XND0,72.0
A0A7J3V087,96.38
A0A7J9PLZ8,93.5
A0A2H9N493,78.38
A0A0P9EST6,85.88
S6D8A2,81.12
D0KRQ0,90.81
A0A558GBT2,92.88
A0A447IU91,96.31
A0A7G9YX55,94.31
A0A1L3Q1J7,94.5
D0RCF5,97.5
A0A101GMW4,48.72
A0A410GS75,73.56
A0A1H6C1Z8,76.62
A0A7H1KNF7,94.38
A0A7G9Z156,43.78
A0A7G9Z743,92.94
A0A0Y0DDE7,98.38
A0A558GD36,92.44
A0A0K2D480,98.44
A0A1H6AP29,76.06
A0A0U2SLX1,97.12
A0A7G9Z5V9,60.62
A0A558GBX7,94.19
A0A371R0P3,95.81
A0A1N7DNW2,74.75
A0A1N7FXN1,43.25
A0A101FVF3,86.0
A0A1H6CA86,92.62
A0A7G9Z918,88.94
A0A7G9YJ13,64.0
M9WKH6,73.88
A0A1N7D2F8,93.25
A0A0X3BGV3,93.75
A0A558G8S3,92.38
I3R5I3,92.25
A0A0U3H2F5,92.06
A0A7G9YLP8,94.81
A0A075G801,93.31
A0A075G2P5,93.25
A0A075I7K5,92.88
A0A075H6L5,89.75
A0A075IGE5,86.06
A0A1H6BTT0,91.38
B3V5H4,90.94
A0A150JD25,86.81
A0A1H5YJI3,90.25
A0A075HCD5,82.94
A0A075HYQ3,80.88
A0A075H4J7,82.44
A0A075FIQ7,84.88
B3V5H0,93.56
A0A088E3U5,86.69
A0A075GYG4,90.88
A0A075FTJ6,85.81
A0A075H2Z1,82.12
A0A075H2I4,81.19
A0A075FHD8,96.0
Q3I2V6,70.69
D8J2A2,79.81
A0A075GLM3,74.31
A0A075FR63,93.75
A0A075FTL6,94.56
A0A075FWZ8,94.44
B3UYW8,73.88
A0A150JGJ5,88.44
G9BAQ7,90.75
W0P371,96.75
A0A075G8Y1,92.81
A0A075FHG3,96.06
A0A075FIJ7,92.88
A0A075HM66,91.38
A0A075FTX8,85.56
A0A218NN79,92.19
A0A088E6N5,96.06
A0A075FUF7,90.62
A0A075I322,69.25
A0A075G3U2,85.81
A0A1H5U015,92.5
A0A1H5TZ74,80.38
A0A520KDZ2,86.69
A0A510N3V0,84.25
A0A088E789,97.06
W0SAB2,98.25
A0A7C3SLV3,90.56
A0A7C5UUP8,94.81
A0A7C5L6F1,82.25
A0A7J3JRU6,92.5
A0A7J3X6A4,54.94
A0A7J2U125,95.31
A0A0F7PAD2,88.81
R9XX66,74.44
A0A650DKR9,97.88
A0A7C2ZC82,89.75
A0A7C4JIX9,84.31
A0A7C3FAU2,94.0
A0A1I7BCJ3,95.88
A0A7J3XA18,88.56
A0A1D9C8J5,96.44
A0A7J3N085,75.88
A0A0F6Q5U9,85.69
A0A643JX73,92.38
G1CDI2,76.75
A0A7C4FDR6,96.31
A0A7C1CC82,82.31
A0A7C4NPB9,83.31
A0A7J3ZK85,74.31
C0KGQ0,70.69
X2GA36,66.88
A0A650CUX8,88.19
E4NV17,72.0
A0A1I0DMM0,90.88
A0A7J3TGZ4,82.81
A0A1G6SFV7,80.0
C0LKX7,97.62
A0A1H6BN40,95.12
E2GM96,68.88
A0A7C3UHL0,90.94
C0LQH1,97.62
A0A7J3ZJU4,90.69
A0A7J2U1L0,43.03
A0A7J2THQ3,92.38
A0A7C3UL39,87.25
A0A1G6Y869,77.94
A0A7J3I5X8,97.31
A0A7J3I6F8,86.06
A0A7J3ZKT5,69.31
A0A7J3I6A6,78.81
A0A7J2T9A2,93.88
A0A0P9GZS8,91.44
A0A0N0BNE8,51.69
A0A5N5U5N6,95.5
U3RHI3,98.12
A0A497EXY9,83.06
F7PNU7,95.12
A9AAS7,88.75
B1GTJ6,97.88
A0A371R1Z9,87.38
A0A1H9NGB3,93.62
A6VJ55,77.19
F7PNM1,92.12
F7PNG1,83.94
A9A8U0,76.94
A0A0Q2MQF9,84.31
A0A5Q2WV62,74.06
A0A497EZT8,88.44
A0A0Q2MQQ2,94.44
A0A345E678,96.0
D6MY08,67.25
A0A1N7GBY1,95.38
A0A1D8S294,85.81
A0A7J3JTG0,93.06
A0A7J2U009,94.75
A0A7J3MXE0,86.12
A0A101FRY9,92.38
H9BX87,91.62
A0A1N7FHX0,77.44
A0A1N6ZWA7,80.19
A0A1N7F643,50.84
A0A1L3Q102,84.06
A0A7J3X6G0,94.19
A0A7J3SJY5,91.31
A0A7J2THV2,94.31
A0A7J3M0Y0,78.44
L0JJH2,93.31
D0G755,71.94
Q0ZCR2,79.88
A0A0A0WAN0,98.38
A0A1N7G8U1,95.75
A0A1N7A3V2,94.81
A0A2G9LJ69,39.59
A0A0A7UZM0,91.44
A0A1N6X556,86.25
A0A7J2U5J4,89.69
A0A7J3XWZ3,88.44
L0JJD1,92.62
L0JKI5,72.5
L0JNP8,93.75
A0A0X3BI55,95.0
A0A7J3I7W6,94.94
A0A7J2U3K2,87.88
A0A7J3I9T9,92.06
L0JIG7,96.0
A0A1B1TD17,93.38
Q2QAR7,91.38
A0A7J3X5A3,94.19
A0A7J3X607,87.38
A0A7J2U3R7,91.69
A0A314ZX16,94.56
L0JR55,77.12
D0KVC1,90.69
A0A101E029,93.12
A0A1B1TDV7,96.38
A0A1I0A522,92.56
A0A7J3IA86,88.88
L0JQZ8,94.31
A0A101J2F4,87.69
A0A2S1TQA5,65.25
A9AAY8,85.06
A0A7C4H7B6,81.31
A0A7C4D8C5,95.94
A0A7C4JLZ2,91.19
A0A7C2FCI6,89.88
A0A0X8XIV3,97.94
A0A0X8XJF1,97.44
A0A558GCE6,70.81
A0A7J9SEH2,94.06
Q673S2,86.06
A0A7C3UBL7,95.19
A0A7C4BCA9,93.5
A0A7C3N776,96.25
A0A101II40,93.69
X4QUZ4,73.12
A0A7J9PPJ9,79.62
A0A7J4KUY2,87.31
A0A7C1P054,93.0
A0A7C4GZW5,92.19
A0A7C4H966,61.88
A0A7C1CGS3,91.81
A0A101DZW6,92.44
A0A124F823,86.56
A0A7J3VTM4,69.56
A0A7J3V0D4,88.69
A0A7J4JVV5,92.06
A0A7C3UIJ1,97.56
A0A7C4B9L8,93.88
A0A7C4NLQ9,84.25
A0A7C4E1T3,96.25
D0KTS8,82.88
Q7ZAC9,97.25
A0A150J143,94.75
A0A7C4FFC7,92.56
A0A6S4LTF7,70.56
A0A117MBY3,80.38
K4EGQ8,86.25
A0A7J9PND4,91.06
A0A7J9NZZ4,84.81
A0A7C3MCK2,85.12
A0A7C3MF01,88.88
A0A7C3M9M3,67.31
A0A117MCG8,90.25
A0A558GBG9,90.19
A0A150JGC8,90.88
R9XWB4,74.56
A0A7J9RZW5,89.56
A0A7J3V0A7,87.94
A0A7J3UXL3,89.56
E4NR60,79.62
A0A7C1I4Y6,79.44
A0A7C5LAH0,92.56
A0A5B9DER3,80.62
A0A0M9AKV4,95.44
A0A371QUR2,90.44
H9NN29,69.25
A0A1V0N4G1,96.31
A6VJP5,70.44
B5LRR1,73.69
A0A1L2JJZ5,94.62
Q64CE2,80.56
A0A286LUR2,75.0
A0A1N7A6D3,76.5
A0A0N0BPL9,96.81
A0A5N5UJE5,73.38
